rand_seed,customer_index,transaction_index,conf_model_leg,conf_model_fraud,random_eval,suc_by_lfi,suc_by_anchors_rules,suc_by_feature_impact,sub_by_gfi,suc_by_prototypes
0,SEND_1,845,0.22,0.78,FALSE,1,0,0.5,1,1
0,SEND_1,846,0,1,FALSE,1,0,0.6,1,1
0,SEND_2,115,0.04,0.96,FALSE,0.2,0,0.7,1,1
0,SEND_3,89,0.18,0.82,FALSE,0.2,1,0.9,0.1,1
0,SEND_3,90,0.18,0.82,FALSE,0.2,1,0.9,0.1,1
0,SEND_4,35,0.41,0.59,FALSE,0.1,1,0.1,0.1,1
0,SEND_4,36,0.25,0.75,FALSE,0.1,1,0.1,0.1,1
0,SEND_4,37,0.1,0.9,FALSE,0.2,1,1,0.1,1
0,SEND_10,22,0.35,0.65,FALSE,0.2,1,0.1,0.1,0.942
1,SEND_1,845,0.23,0.77,FALSE,1,0,0.5,1,1
1,SEND_1,846,0.01,0.99,FALSE,1,0,0.6,1,1
1,SEND_2,115,0.06,0.94,FALSE,0.2,0,0.6,1,1
1,SEND_3,89,0.2,0.8,FALSE,0.2,1,0.1,0.1,1
1,SEND_3,90,0.2,0.8,FALSE,0.2,1,0.1,0.1,1
1,SEND_4,35,0.32,0.68,FALSE,0.1,1,0.1,0.1,1
1,SEND_4,36,0.31,0.69,FALSE,0.1,0,0.1,0.4,1
1,SEND_4,37,0.11,0.89,FALSE,0.2,0,1,0.2,0.999
1,SEND_10,22,0.33,0.67,FALSE,0.2,1,0.2,0.1,0.948
2,SEND_1,845,0.15,0.85,FALSE,1,0,0.4,1,1
2,SEND_1,846,0.03,0.97,FALSE,1,0,0.6,1,1
2,SEND_2,115,0.04,0.96,FALSE,0.2,0,0.7,1,1
2,SEND_3,89,0.29,0.71,FALSE,0.2,1,0.1,0.1,1
2,SEND_3,90,0.29,0.71,FALSE,0.2,1,0.1,0.1,1
2,SEND_4,35,0.35,0.65,FALSE,0.1,1,0.1,0.1,1
2,SEND_4,36,0.29,0.71,FALSE,0.2,1,1,0.1,1
2,SEND_4,37,0.06,0.94,FALSE,0.2,0,1,0.2,1
2,SEND_10,22,0.26,0.74,FALSE,0.3,0,1,0.5,0.933
3,SEND_1,845,0.14,0.86,FALSE,1,0,0.3,1,1
3,SEND_1,846,0.01,0.99,FALSE,1,0,0.6,1,1
3,SEND_2,115,0.06,0.94,FALSE,0.2,0,0.7,1,1
3,SEND_3,89,0.28,0.72,FALSE,0.3,1,0.6,0.1,1
3,SEND_3,90,0.28,0.72,FALSE,0.3,1,0.6,0.1,1
3,SEND_4,35,0.26,0.74,FALSE,0.2,1,0.3,0.5,1
3,SEND_4,36,0.23,0.77,FALSE,0.2,0,0.1,0.4,1
3,SEND_4,37,0.04,0.96,FALSE,0.2,1,0.1,0.5,1
3,SEND_10,22,0.3,0.7,FALSE,0.2,0,0.2,0.2,0.94
4,SEND_1,845,0.23,0.77,FALSE,1,0,0.3,1,1
4,SEND_1,846,0.01,0.99,FALSE,1,0,0.6,1,1
4,SEND_2,115,0.07,0.93,FALSE,0.2,0,0.6,1,1
4,SEND_3,89,0.16,0.84,FALSE,0.3,1,0.2,0.1,1
4,SEND_3,90,0.16,0.84,FALSE,0.3,1,0.2,0.1,1
4,SEND_4,35,0.36,0.64,FALSE,0.1,1,0.1,0.1,1
4,SEND_4,36,0.24,0.76,FALSE,0.2,1,0.1,0.1,1
4,SEND_4,37,0.1,0.9,FALSE,0.2,0,0.1,0.1,1
4,SEND_10,22,0.28,0.72,FALSE,0.3,1,0.2,0.1,0.934
5,SEND_1,845,0.21,0.79,FALSE,1,0,0.5,1,1
5,SEND_1,846,0.01,0.99,FALSE,1,0,0.6,1,1
5,SEND_2,115,0.05,0.95,FALSE,0.2,0,0.7,1,1
5,SEND_3,89,0.21,0.79,FALSE,0.2,1,0.3,0.1,1
5,SEND_3,90,0.21,0.79,FALSE,0.2,1,0.3,0.1,1
5,SEND_4,35,0.34,0.66,FALSE,0.1,0,0.3,0.1,1
5,SEND_4,36,0.27,0.73,FALSE,0.1,0,0.1,0.3,1
5,SEND_4,37,0.13,0.87,FALSE,0.2,1,0.1,0.1,1
5,SEND_10,22,0.27,0.73,FALSE,0.2,1,0.6,0.3,0.95
6,SEND_1,845,0.13,0.87,FALSE,1,0,0.4,1,1
6,SEND_1,846,0.01,0.99,FALSE,1,0,1,1,1
6,SEND_2,115,0.05,0.95,FALSE,0.2,0,0.7,1,1
6,SEND_3,89,0.28,0.72,FALSE,0.2,1,0.8,0.1,1
6,SEND_3,90,0.28,0.72,FALSE,0.2,1,0.8,0.1,1
6,SEND_4,35,0.36,0.64,FALSE,0.1,1,0.1,0.1,1
6,SEND_4,36,0.3,0.7,FALSE,0.1,1,1,1,1
6,SEND_4,37,0.12,0.88,FALSE,0.2,1,0.1,0.3,1
6,SEND_10,22,0.29,0.71,FALSE,0.2,1,0.1,0.1,0.94
7,SEND_1,845,0.16,0.84,FALSE,1,0,0.5,1,1
7,SEND_1,846,0.03,0.97,FALSE,1,0,0.6,1,1
7,SEND_2,115,0.09,0.91,FALSE,0.2,0,0.6,1,1
7,SEND_3,89,0.2,0.8,FALSE,0.2,1,0.2,0.1,1
7,SEND_3,90,0.2,0.8,FALSE,0.2,1,0.2,0.1,1
7,SEND_4,35,0.34,0.66,FALSE,0.1,1,0.1,0.1,1
7,SEND_4,36,0.27,0.73,FALSE,0.2,0,0.1,0.3,1
7,SEND_4,37,0.06,0.94,FALSE,0.2,0,0.1,0.3,1
7,SEND_10,22,0.29,0.71,FALSE,0.3,0,0.2,0.1,0.941
8,SEND_1,845,0.15,0.85,FALSE,1,0,0.5,1,1
8,SEND_1,846,0,1,FALSE,1,0,0.6,1,1
8,SEND_2,115,0.04,0.96,FALSE,0.2,0,0.6,1,1
8,SEND_3,89,0.11,0.89,FALSE,0.3,1,0.1,0.1,1
8,SEND_3,90,0.11,0.89,FALSE,0.3,1,0.1,0.1,1
8,SEND_4,35,0.34,0.66,FALSE,0.1,1,0.1,0.1,1
8,SEND_4,36,0.25,0.75,FALSE,0.2,1,0.1,0.1,1
8,SEND_4,37,0.11,0.89,FALSE,0.2,1,0.1,0.2,1
8,SEND_10,22,0.24,0.76,FALSE,0.3,1,0.1,0.2,0.943
9,SEND_1,845,0.14,0.86,FALSE,1,0,0.5,1,1
9,SEND_1,846,0.03,0.97,FALSE,1,0,0.6,1,1
9,SEND_2,115,0.04,0.96,FALSE,0.2,0,0.7,1,1
9,SEND_3,89,0.26,0.74,FALSE,0.1,1,0.1,0.1,1
9,SEND_3,90,0.26,0.74,FALSE,0.1,1,0.1,0.1,1
9,SEND_4,35,0.35,0.65,FALSE,0.1,1,0.2,0.1,1
9,SEND_4,36,0.27,0.73,FALSE,0.2,1,0.1,0.1,1
9,SEND_4,37,0.12,0.88,FALSE,0.2,1,0.1,0.1,0.999
9,SEND_10,22,0.3,0.7,FALSE,0.3,1,0.2,0.1,0.94
10,SEND_1,845,0.15,0.85,FALSE,1,0,0.5,1,1
10,SEND_1,846,0.02,0.98,FALSE,1,0,0.6,1,1
10,SEND_2,115,0.04,0.96,FALSE,0.2,0,0.6,1,1
10,SEND_3,89,0.15,0.85,FALSE,0.2,1,0.1,0.1,1
10,SEND_3,90,0.15,0.85,FALSE,0.2,1,0.1,0.1,1
10,SEND_4,35,0.34,0.66,FALSE,0.1,1,0.3,0.4,1
10,SEND_4,36,0.25,0.75,FALSE,0.1,0,0.2,0.3,1
10,SEND_4,37,0.08,0.92,FALSE,0.2,1,0.1,0.1,1
10,SEND_10,22,0.36,0.64,FALSE,0.1,1,0.1,0.2,0.912
11,SEND_1,845,0.21,0.79,FALSE,1,0,0.4,1,1
11,SEND_1,846,0.04,0.96,FALSE,1,0,0.6,1,1
11,SEND_2,115,0.06,0.94,FALSE,0.2,0,0.6,1,1
11,SEND_3,89,0.18,0.82,FALSE,0.2,1,0.1,0.1,1
11,SEND_3,90,0.18,0.82,FALSE,0.2,1,0.1,0.1,1
11,SEND_4,35,0.29,0.71,FALSE,0.2,1,0.1,0.1,1
11,SEND_4,36,0.29,0.71,FALSE,0.2,1,0.1,0.1,1
11,SEND_4,37,0.07,0.93,FALSE,0.3,1,0.2,0.1,1
11,SEND_10,22,0.31,0.69,FALSE,0.2,0,0.2,0.1,0.927
12,SEND_1,845,0.17,0.83,FALSE,1,0,0.4,1,1
12,SEND_1,846,0,1,FALSE,1,0,0.9,1,1
12,SEND_2,115,0.07,0.93,FALSE,0.2,0,0.7,1,1
12,SEND_3,89,0.21,0.79,FALSE,0.2,1,0.1,0.1,1
12,SEND_3,90,0.21,0.79,FALSE,0.2,1,0.1,0.1,1
12,SEND_4,35,0.35,0.65,FALSE,0.1,1,0.1,0.1,1
12,SEND_4,36,0.27,0.73,FALSE,0.2,1,0.1,0.1,1
12,SEND_4,37,0.09,0.91,FALSE,0.2,1,0.1,0.1,1
12,SEND_10,22,0.26,0.74,FALSE,0.3,1,0.4,0.1,0.914
13,SEND_1,845,0.2,0.8,FALSE,1,0,0.3,1,1
13,SEND_1,846,0.02,0.98,FALSE,1,0,0.6,1,1
13,SEND_2,115,0.03,0.97,FALSE,0.2,0,0.6,1,1
13,SEND_3,89,0.21,0.79,FALSE,0.2,1,0.1,0.1,1
13,SEND_3,90,0.21,0.79,FALSE,0.2,1,0.1,0.1,1
13,SEND_4,35,0.29,0.71,FALSE,0.1,0,0.1,0.1,1
13,SEND_4,36,0.19,0.81,FALSE,0.2,1,0.1,0.1,1
13,SEND_4,37,0.11,0.89,FALSE,0.2,1,0.2,0.1,1
13,SEND_10,22,0.31,0.69,FALSE,0.2,0,0.2,0.1,0.944
14,SEND_1,845,0.24,0.76,FALSE,1,0,0.5,1,1
14,SEND_1,846,0.03,0.97,FALSE,1,0,0.6,1,1
14,SEND_2,115,0.09,0.91,FALSE,0.2,0,0.6,1,1
14,SEND_3,89,0.19,0.81,FALSE,0.2,1,0.1,0.1,1
14,SEND_3,90,0.19,0.81,FALSE,0.2,1,0.1,0.1,1
14,SEND_4,35,0.35,0.65,FALSE,0.1,1,0.1,0.1,1
14,SEND_4,36,0.22,0.78,FALSE,0.2,1,0.1,0.3,1
14,SEND_4,37,0.1,0.9,FALSE,0.2,1,0.1,0.1,1
14,SEND_10,22,0.33,0.67,FALSE,0.2,0,0.4,0.4,0.865
15,SEND_1,845,0.18,0.82,FALSE,1,0,0.4,1,1
15,SEND_1,846,0.03,0.97,FALSE,1,0,0.6,1,1
15,SEND_2,115,0.05,0.95,FALSE,0.2,0,0.7,1,1
15,SEND_3,89,0.21,0.79,FALSE,0.2,1,0.1,0.1,1
15,SEND_3,90,0.21,0.79,FALSE,0.2,1,0.1,0.1,1
15,SEND_4,35,0.31,0.69,FALSE,0.1,1,0.1,0.2,1
15,SEND_4,36,0.23,0.77,FALSE,0.2,0,0.1,0.2,1
15,SEND_4,37,0.05,0.95,FALSE,0.2,1,0.1,0.2,1
15,SEND_10,22,0.28,0.72,FALSE,0.6,0,0.2,0.1,0.942
16,SEND_1,845,0.13,0.87,FALSE,1,0,0.5,1,1
16,SEND_1,846,0.02,0.98,FALSE,1,0,0.7,1,1
16,SEND_2,115,0.04,0.96,FALSE,0.2,0,0.7,1,1
16,SEND_3,89,0.27,0.73,FALSE,0.2,1,0.5,0.1,1
16,SEND_3,90,0.27,0.73,FALSE,0.2,1,0.5,0.1,1
16,SEND_4,35,0.32,0.68,FALSE,0.1,1,0.1,0.1,1
16,SEND_4,36,0.21,0.79,FALSE,0.2,0,0.1,0.1,1
16,SEND_4,37,0.12,0.88,FALSE,0.2,0,1,0.1,1
16,SEND_10,22,0.3,0.7,FALSE,0.2,0,0.3,0.4,0.932
17,SEND_1,845,0.12,0.88,FALSE,1,0,0.5,1,1
17,SEND_1,846,0.04,0.96,FALSE,1,0,0.7,1,1
17,SEND_2,115,0.03,0.97,FALSE,0.2,0,0.2,0.6,1
17,SEND_3,89,0.21,0.79,FALSE,0.4,1,0.1,0.1,1
17,SEND_3,90,0.21,0.79,FALSE,0.4,1,0.1,0.1,1
17,SEND_4,35,0.41,0.59,FALSE,0.1,1,0.2,0.1,1
17,SEND_4,36,0.22,0.78,FALSE,0.2,1,0.1,0.1,1
17,SEND_4,37,0.13,0.87,FALSE,0.2,1,0.2,0.1,0.998
17,SEND_10,22,0.25,0.75,FALSE,0.3,0,0.2,0.2,0.93
18,SEND_1,845,0.26,0.74,FALSE,1,0,0.5,1,1
18,SEND_1,846,0.02,0.98,FALSE,1,0,0.6,1,1
18,SEND_2,115,0.04,0.96,FALSE,0.2,0,0.7,1,1
18,SEND_3,89,0.22,0.78,FALSE,0.2,1,0.5,0.1,1
18,SEND_3,90,0.22,0.78,FALSE,0.2,1,0.5,0.1,1
18,SEND_4,35,0.38,0.62,FALSE,0.1,1,0.1,0.1,1
18,SEND_4,36,0.18,0.82,FALSE,0.2,1,0.2,0.3,1
18,SEND_4,37,0.09,0.91,FALSE,0.2,1,0.1,0.1,0.999
18,SEND_10,22,0.35,0.65,FALSE,0.2,1,0.1,0.2,0.928
19,SEND_1,845,0.19,0.81,FALSE,1,0,0.4,1,1
19,SEND_1,846,0.03,0.97,FALSE,1,0,0.6,1,1
19,SEND_2,115,0.03,0.97,FALSE,0.2,0,0.7,1,1
19,SEND_3,89,0.24,0.76,FALSE,0.2,1,0.1,0.1,1
19,SEND_3,90,0.24,0.76,FALSE,0.2,1,0.1,0.1,1
19,SEND_4,35,0.38,0.62,FALSE,0.1,1,0.1,0.1,1
19,SEND_4,36,0.28,0.72,FALSE,0.2,1,0.2,0.3,1
19,SEND_4,37,0.12,0.88,FALSE,0.2,0,0.1,0.1,1
19,SEND_10,22,0.33,0.67,FALSE,0.3,0,0.2,0.1,0.933
20,SEND_1,845,0.19,0.81,FALSE,1,0,0.5,1,1
20,SEND_1,846,0.03,0.97,FALSE,1,0,0.6,1,1
20,SEND_2,115,0.03,0.97,FALSE,0.2,0,0.5,1,1
20,SEND_3,89,0.24,0.76,FALSE,0.3,1,0.7,0.1,1
20,SEND_3,90,0.24,0.76,FALSE,0.3,1,0.7,0.1,1
20,SEND_4,35,0.37,0.63,FALSE,0.1,1,0.1,0.1,1
20,SEND_4,36,0.29,0.71,FALSE,0.2,1,0.1,0.1,1
20,SEND_4,37,0.13,0.87,FALSE,0.2,1,0.1,0.1,1
20,SEND_10,22,0.24,0.76,FALSE,0.3,0,0.1,0.1,0.922
21,SEND_1,845,0.18,0.82,FALSE,1,0,0.5,1,1
21,SEND_1,846,0.02,0.98,FALSE,1,0,0.6,1,1
21,SEND_2,115,0.05,0.95,FALSE,0.2,0,0.6,1,1
21,SEND_3,89,0.26,0.74,FALSE,0.2,1,0.2,0.1,1
21,SEND_3,90,0.26,0.74,FALSE,0.2,1,0.2,0.1,1
21,SEND_4,35,0.27,0.73,FALSE,0.1,1,0.1,0.1,1
21,SEND_4,36,0.22,0.78,FALSE,0.1,0,0.2,0.1,1
21,SEND_4,37,0.07,0.93,FALSE,0.2,1,0.1,0.1,1
21,SEND_10,22,0.4,0.6,FALSE,0.2,1,0.1,0.1,0.872
22,SEND_1,845,0.18,0.82,FALSE,1,0,0.5,1,1
22,SEND_1,846,0.03,0.97,FALSE,1,0,0.6,1,1
22,SEND_2,115,0.04,0.96,FALSE,0.2,0,0.7,1,1
22,SEND_3,89,0.19,0.81,FALSE,0.2,0,0.1,0.1,1
22,SEND_3,90,0.19,0.81,FALSE,0.2,0,0.1,0.1,1
22,SEND_4,35,0.34,0.66,FALSE,0.1,1,0.1,0.1,1
22,SEND_4,36,0.21,0.79,FALSE,0.2,1,0.1,0.2,1
22,SEND_4,37,0.04,0.96,FALSE,0.2,1,0.1,0.1,0.998
22,SEND_10,22,0.3,0.7,FALSE,0.3,0,0.1,0.1,0.909
23,SEND_1,845,0.15,0.85,FALSE,1,0,0.5,1,1
23,SEND_1,846,0.01,0.99,FALSE,1,0,0.6,1,1
23,SEND_2,115,0.06,0.94,FALSE,0.2,0,0.5,1,1
23,SEND_3,89,0.25,0.75,FALSE,0.2,1,0.9,0.1,1
23,SEND_3,90,0.25,0.75,FALSE,0.2,1,0.9,0.1,1
23,SEND_4,35,0.31,0.69,FALSE,0.1,0,1,0.3,1
23,SEND_4,36,0.23,0.77,FALSE,0.2,1,0.1,0.3,1
23,SEND_4,37,0.12,0.88,FALSE,0.2,1,0.1,0.3,1
23,SEND_10,22,0.31,0.69,FALSE,0.3,1,0.4,0.2,0.939
24,SEND_1,845,0.15,0.85,FALSE,1,0,0.5,1,1
24,SEND_1,846,0.02,0.98,FALSE,1,0,0.6,1,1
24,SEND_2,115,0.07,0.93,FALSE,0.2,0,0.5,1,1
24,SEND_3,89,0.19,0.81,FALSE,0.2,1,0.1,0.1,1
24,SEND_3,90,0.19,0.81,FALSE,0.2,1,0.1,0.1,1
24,SEND_4,35,0.33,0.67,FALSE,0.1,1,0.1,0.1,1
24,SEND_4,36,0.25,0.75,FALSE,0.2,1,0.1,1,1
24,SEND_4,37,0.13,0.87,FALSE,0.2,1,0.1,0.1,1
24,SEND_10,22,0.26,0.74,FALSE,0.2,1,0.2,0.2,0.929
25,SEND_1,845,0.2,0.8,FALSE,1,0,0.5,1,1
25,SEND_1,846,0.03,0.97,FALSE,1,0,0.6,1,1
25,SEND_2,115,0.04,0.96,FALSE,0.2,0,0.6,1,1
25,SEND_3,89,0.25,0.75,FALSE,0.3,1,0.6,0.1,1
25,SEND_3,90,0.25,0.75,FALSE,0.3,1,0.6,0.1,1
25,SEND_4,35,0.34,0.66,FALSE,0.1,1,0.1,0.1,1
25,SEND_4,36,0.21,0.79,FALSE,0.1,0,0.1,0.3,1
25,SEND_4,37,0.13,0.87,FALSE,0.2,0,0.1,0.4,1
25,SEND_10,22,0.44,0.56,FALSE,0.1,1,0.2,0.1,0.933
26,SEND_1,845,0.2,0.8,FALSE,1,0,0.5,1,1
26,SEND_1,846,0.01,0.99,FALSE,1,0,0.6,1,1
26,SEND_2,115,0.05,0.95,FALSE,0.2,0,0.6,1,1
26,SEND_3,89,0.26,0.74,FALSE,0.1,1,0.2,0.1,1
26,SEND_3,90,0.26,0.74,FALSE,0.1,1,0.2,0.1,1
26,SEND_4,35,0.27,0.73,FALSE,0.1,1,0.2,0.3,1
26,SEND_4,36,0.2,0.8,FALSE,0.2,1,0.1,0.1,1
26,SEND_4,37,0.08,0.92,FALSE,0.2,1,0.1,0.1,1
26,SEND_10,22,0.28,0.72,FALSE,0.2,1,0.1,0.3,0.919
27,SEND_1,845,0.2,0.8,FALSE,1,0,0.4,1,1
27,SEND_1,846,0,1,FALSE,1,0,0.6,1,1
27,SEND_2,115,0.04,0.96,FALSE,0.2,1,0.1,0.1,1
27,SEND_3,89,0.15,0.85,FALSE,0.3,1,0.2,0.1,1
27,SEND_3,90,0.15,0.85,FALSE,0.3,1,0.2,0.1,1
27,SEND_4,35,0.28,0.72,FALSE,0.2,0,0.2,0.1,1
27,SEND_4,36,0.21,0.79,FALSE,0.2,0,0.1,0.2,1
27,SEND_4,37,0.07,0.93,FALSE,0.3,1,0.1,0.1,1
27,SEND_10,22,0.31,0.69,FALSE,0.1,1,0.2,0.1,0.926
28,SEND_1,845,0.15,0.85,FALSE,1,0,0.4,1,1
28,SEND_1,846,0.01,0.99,FALSE,1,0,0.6,1,1
28,SEND_2,115,0.03,0.97,FALSE,0.2,0,0.7,1,1
28,SEND_3,89,0.17,0.83,FALSE,0.2,1,0.1,0.1,1
28,SEND_3,90,0.17,0.83,FALSE,0.2,1,0.1,0.1,1
28,SEND_4,35,0.41,0.59,FALSE,0.1,1,0.1,0.1,1
28,SEND_4,36,0.19,0.81,FALSE,0.2,1,0.1,0.1,1
28,SEND_4,37,0.13,0.87,FALSE,0.2,1,0.1,0.1,1
28,SEND_10,22,0.23,0.77,FALSE,0.3,1,0.3,0.2,0.931
29,SEND_1,845,0.18,0.82,FALSE,1,0,0.7,1,1
